datetime,PM10,PM25,PM1,temp_c,dewpoint_c,humidity,pressure_hpa,site,location
2025-12-01 00:00:00,38.6455,33.81283333333333,21.7875,31.16666666666667,20.40740740740741,53.4,964.3050000000001,SITE 4,INT
2025-12-01 01:00:00,33.716166666666666,30.796499999999998,19.967499999999998,31.129629629629633,20.425925925925927,53.36666666666667,963.7896666666667,SITE 4,INT
2025-12-01 02:00:00,28.572499999999998,26.957333333333334,17.615833333333335,30.833333333333336,20.35185185185185,54.36666666666667,963.421,SITE 4,INT
2025-12-01 03:00:00,29.406833333333335,27.725833333333334,18.06883333333333,30.333333333333332,20.462962962962965,56.13333333333333,963.2296666666666,SITE 4,INT
2025-12-01 04:00:00,29.361666666666668,27.94333333333333,17.9715,29.425925925925927,20.185185185185183,58.233333333333334,963.5716666666667,SITE 4,INT
2025-12-01 05:00:00,38.23716666666667,33.628,21.717499999999998,29.14814814814815,20.0,58.2,964.1370000000001,SITE 4,INT
2025-12-01 06:00:00,38.49709677419355,33.895483870967745,22.138870967741937,28.870967741935484,19.96415770609319,59.096774193548384,964.8038709677419,SITE 4,INT
2025-12-01 07:00:00,34.53333333333333,31.308,20.37816666666667,28.62962962962963,20.185185185185183,60.6,965.5436666666667,SITE 4,INT
2025-12-01 08:00:00,27.938333333333333,26.08833333333333,16.9695,29.518518518518523,19.48148148148148,55.36666666666667,965.9770000000001,SITE 4,INT
2025-12-01 09:00:00,34.80433333333333,31.253666666666668,20.272499999999997,30.592592592592595,19.185185185185183,50.86666666666667,966.3140000000001,SITE 4,INT
2025-12-01 10:00:00,26.137833333333333,23.994333333333334,15.257166666666667,31.925925925925927,19.740740740740744,49.166666666666664,966.2616666666667,SITE 4,INT
2025-12-01 11:00:00,22.020166666666668,20.68566666666667,13.709333333333332,33.72222222222222,20.296296296296298,45.63333333333333,965.6883333333334,SITE 4,INT
2025-12-01 12:00:00,24.278166666666667,22.568666666666665,14.8765,35.24074074074074,19.98148148148148,41.3,964.7853333333334,SITE 4,INT
2025-12-01 13:00:00,22.413833333333333,21.05483333333333,14.043333333333333,36.07407407407408,19.61111111111111,38.43333333333333,964.0173333333333,SITE 4,INT
2025-12-01 14:00:00,23.738225806451613,22.473709677419357,15.036612903225807,37.58064516129032,19.444444444444446,34.935483870967744,963.3806451612903,SITE 4,INT
2025-12-01 15:00:00,24.623,23.3935,15.547333333333334,37.851851851851855,19.555555555555557,34.666666666666664,962.9316666666667,SITE 4,INT
2025-12-01 16:00:00,25.547,24.34325,16.117,36.97222222222222,19.416666666666668,36.1,962.742,SITE 4,INT
2025-12-01 18:00:00,47.65714285714286,39.699999999999996,25.357499999999998,32.77777777777778,20.31746031746032,48.142857142857146,964.2164285714287,SITE 4,INT
2025-12-01 19:00:00,48.367,40.33266666666667,25.833333333333332,33.833333333333336,20.0,44.63333333333333,965.099,SITE 4,INT
2025-12-01 20:00:00,63.68216666666667,53.03633333333333,33.008833333333335,33.68518518518519,19.62962962962963,43.766666666666666,965.9173333333333,SITE 4,INT
