datetime,PM10,PM25,PM1,temp_c,dewpoint_c,humidity,pressure_hpa,site,location
2025-12-01 00:00:00,58.304,47.24,29.880666666666666,34.851851851851855,20.962962962962965,44.53333333333333,970.8436666666668,SITE 3,INT
2025-12-01 01:00:00,48.36683333333333,39.7215,24.3625,34.44444444444444,20.722222222222225,45.2,970.3253333333333,SITE 3,INT
2025-12-01 02:00:00,37.85516129032258,33.25838709677419,21.254354838709677,33.9247311827957,20.591397849462368,46.0,969.9567741935484,SITE 3,INT
2025-12-01 03:00:00,33.33983333333334,30.676166666666667,19.74866666666667,33.777777777777786,20.53703703703704,46.6,969.802,SITE 3,INT
2025-12-01 04:00:00,35.10116666666667,31.826333333333334,20.54366666666667,33.333333333333336,20.555555555555557,47.0,970.1323333333333,SITE 3,INT
2025-12-01 05:00:00,44.5525,37.83433333333333,24.3555,33.092592592592595,20.314814814814817,47.96666666666667,970.74,SITE 3,INT
2025-12-01 06:00:00,59.108333333333334,47.4045,30.267,32.77777777777778,20.0,47.5,971.3743333333333,SITE 3,INT
2025-12-01 07:00:00,59.02966666666667,47.534666666666666,29.904166666666665,32.333333333333336,19.944444444444446,48.3,972.029,SITE 3,INT
2025-12-01 08:00:00,39.191,33.99016666666667,21.75,32.648148148148145,19.462962962962965,45.93333333333333,972.5906666666667,SITE 3,INT
2025-12-01 09:00:00,37.96333333333334,33.74066666666667,21.469333333333335,33.18518518518519,19.27777777777778,44.03333333333333,972.8023333333333,SITE 3,INT
2025-12-01 10:00:00,29.416129032258063,27.327903225806452,17.738225806451613,35.017921146953405,19.623655913978496,40.83870967741935,972.7851612903225,SITE 3,INT
2025-12-01 11:00:00,30.165333333333333,26.870833333333334,16.937333333333335,37.25925925925926,20.296296296296298,37.5,972.15,SITE 3,INT
2025-12-01 12:00:00,28.43566666666667,25.946666666666665,16.428833333333333,39.31481481481482,20.12962962962963,33.13333333333333,971.3283333333333,SITE 3,INT
2025-12-01 13:00:00,26.712333333333333,24.861333333333334,16.281,41.24074074074074,19.87037037037037,29.333333333333332,970.539,SITE 3,INT
2025-12-01 14:00:00,30.511666666666667,28.0175,18.123333333333335,42.407407407407405,19.425925925925927,26.833333333333332,969.8866666666667,SITE 3,INT
2025-12-01 15:00:00,34.4105,30.16433333333333,19.1115,42.666666666666664,19.074074074074076,25.833333333333332,969.4053333333334,SITE 3,INT
2025-12-01 16:00:00,47.440000000000005,39.96083333333333,26.948666666666668,41.31481481481482,18.77777777777778,27.3,969.2273333333334,SITE 3,INT
2025-12-01 17:00:00,128.9251612903226,121.1108064516129,79.06548387096774,37.437275985663085,19.731182795698928,35.67741935483871,969.5183870967742,SITE 3,INT
2025-12-01 18:00:00,150.79399999999998,137.0475,82.366,36.370370370370374,20.166666666666668,39.06666666666667,970.2676666666666,SITE 3,INT
2025-12-01 19:00:00,121.80166666666668,109.41916666666665,65.73766666666667,35.55555555555556,19.796296296296298,39.833333333333336,971.649,SITE 3,INT
2025-12-01 20:00:00,94.77116666666666,84.7145,52.595333333333336,35.12962962962963,19.685185185185183,40.5,972.3736666666666,SITE 3,INT
2025-12-01 21:00:00,89.50166666666668,81.4875,49.82983333333333,35.68518518518519,20.833333333333332,42.43333333333333,972.8486666666666,SITE 3,INT
2025-12-01 22:00:00,56.37933333333333,45.82733333333333,28.82633333333333,35.833333333333336,20.555555555555557,41.266666666666666,972.9053333333334,SITE 3,INT
2025-12-01 23:00:00,41.256166666666665,35.411833333333334,22.514499999999998,35.5,20.5,42.0,972.5120000000001,SITE 3,INT
2025-12-02 00:00:00,37.989000000000004,33.47933333333334,21.563166666666667,35.0,20.333333333333332,42.6,971.919,SITE 3,INT
2025-12-02 01:00:00,33.76,30.981612903225805,20.028387096774193,34.6415770609319,20.304659498207887,43.516129032258064,971.2248387096774,SITE 3,INT
2025-12-02 02:00:00,34.1825,31.259666666666664,19.991666666666667,34.01851851851852,20.12962962962963,44.56666666666667,970.3536666666666,SITE 3,INT
2025-12-02 03:00:00,33.645833333333336,30.904,19.665000000000003,33.70370370370371,20.296296296296298,45.5,970.0096666666667,SITE 3,INT
2025-12-02 04:00:00,41.60616666666667,35.72,22.507333333333335,33.20370370370371,20.240740740740744,46.9,970.3156666666667,SITE 3,INT
2025-12-02 05:00:00,48.766,40.19783333333333,25.650333333333332,32.77777777777778,20.01851851851852,48.0,970.9136666666667,SITE 3,INT
2025-12-02 06:00:00,64.4305,54.373333333333335,34.87616666666667,32.51851851851852,20.35185185185185,48.733333333333334,971.605,SITE 3,INT
2025-12-02 07:00:00,90.45933333333332,79.51466666666667,48.7615,32.03703703703704,20.11111111111111,49.63333333333333,971.7796666666667,SITE 3,INT
2025-12-02 08:00:00,95.54274193548386,86.28774193548388,51.03193548387097,32.07885304659498,19.874551971326163,49.193548387096776,972.5067741935484,SITE 3,INT
2025-12-02 09:00:00,34.27316666666666,31.401833333333332,20.158166666666666,34.2962962962963,20.666666666666668,45.46666666666667,972.438,SITE 3,INT
2025-12-02 10:00:00,31.641000000000002,29.323333333333334,19.071166666666667,37.2962962962963,20.90740740740741,38.63333333333333,972.0486666666667,SITE 3,INT
2025-12-02 11:00:00,39.43033333333334,34.914,22.957,39.7962962962963,20.90740740740741,34.1,971.5319999999999,SITE 3,INT
2025-12-02 12:00:00,32.13316666666667,29.4035,19.445666666666668,40.92592592592593,20.37037037037037,30.8,970.6419999999999,SITE 3,INT
2025-12-02 13:00:00,32.74066666666667,29.956666666666667,19.997166666666665,41.98148148148149,19.796296296296298,28.233333333333334,969.6503333333333,SITE 3,INT
2025-12-02 14:00:00,33.6505,30.418666666666663,19.953,41.25925925925926,19.75925925925926,29.1,969.0353333333334,SITE 3,INT
