date,PM10,PM25,PM1,temp_c,dewpoint_c,humidity,pressure_hpa,site,location
2025-12-01,53.581874135546336,48.5486030428769,31.28301521438451,32.9176271707392,19.856308590748426,47.20470262793914,965.0068188105118,SITE 1,EXT
2025-12-02,77.6707468879668,71.46587828492393,42.47928077455048,32.28215767634855,20.155985861380053,49.50345781466113,964.9742738589212,SITE 1,EXT
2025-12-03,109.89216160220995,103.36189226519336,59.598950276243094,31.484039287906693,12.360343769183547,33.10911602209945,965.9696132596686,SITE 1,EXT
2025-12-04,124.97963347164591,115.11361687413556,60.59063623789765,31.281696634393732,8.918856615952052,25.681881051175658,966.4711894882435,SITE 1,EXT
2025-12-05,96.52912162162161,89.5518918918919,50.503614864864865,31.82807807807808,7.393018018018019,23.010135135135137,966.6847466216216,SITE 1,EXT
2025-12-06,52.57530428769018,46.68523513139696,30.506037344398344,31.56677424312279,6.940218226525281,22.224066390041493,966.7620470262793,SITE 1,EXT
2025-12-07,100.92994467496543,92.59754495159059,50.75046334716459,31.523743660673123,6.385431074227755,21.367911479944674,966.7627524204702,SITE 1,EXT
2025-12-08,84.8016229281768,78.20055939226519,48.70861878453039,31.83011049723757,6.652854511970535,21.11878453038674,967.0097790055248,SITE 1,EXT
2025-12-09,68.21605965463108,61.72726059654631,39.936852433281004,31.263736263736263,10.876504447933021,29.135007849293565,968.1533594976452,SITE 1,EXT
2025-12-10,111.13607192254496,100.61468188105117,60.53842323651452,32.60258183494698,14.268480098355617,33.7939142461964,967.8164730290457,SITE 1,EXT
2025-12-11,132.45202348066297,120.43380524861878,70.23180248618785,32.52378759975445,14.783609576427256,35.806629834254146,967.0091712707183,SITE 1,EXT
2025-12-12,95.19283540802213,86.0774550484094,54.54156984785615,32.72475795297372,15.039188566159522,35.7344398340249,965.7826832641771,SITE 1,EXT
2025-12-13,80.58421161825727,72.66391424619641,42.1468326417704,33.15813739050254,18.030582449669588,41.975103734439834,965.6757538035961,SITE 1,EXT
2025-12-14,49.4238520055325,43.97439834024897,28.135511756569844,31.63055171353927,19.301521438450898,48.78146611341632,966.7341493775934,SITE 1,EXT
2025-12-15,105.1508713692946,98.07333333333334,61.27746196403873,28.22806208698325,18.392500384201632,56.29598893499308,968.6764315352698,SITE 1,EXT
