date,PM10,PM25,PM1,temp_c,dewpoint_c,humidity,pressure_hpa,site,location
2025-12-01,45.12791201117318,39.61249301675977,25.495013966480446,33.827591558038485,18.798106765983864,41.85614525139665,968.3671089385474,SITE 2,EXT
2025-12-02,48.46076117318436,43.957115921787704,28.093135474860336,33.82216014897579,19.318746120422098,43.05027932960894,968.3303770949722,SITE 2,EXT
2025-12-03,38.34891061452514,33.32879189944134,21.15737430167598,33.764742396027316,11.90021725636251,28.166201117318437,969.2925,SITE 2,EXT
2025-12-04,41.04236731843575,35.8003561452514,22.218694134078213,33.549813780260706,8.632836747361887,22.06983240223464,969.8112709497207,SITE 2,EXT
2025-12-05,65.58924311926606,59.45827981651376,37.92650611620795,33.36901121304791,7.325008494733265,20.89755351681957,970.2168960244647,SITE 2,EXT
2025-12-06,101.97687849162013,93.02965782122905,58.33258379888268,32.625698324022345,7.354903786468032,21.710893854748605,970.168812849162,SITE 2,EXT
2025-12-07,78.35087412587413,70.42762237762238,43.87839160839161,32.840714840714845,6.839160839160839,20.4979020979021,970.1687552447553,SITE 2,EXT
2025-12-08,97.68124301675978,88.743687150838,54.621689944134076,33.005121042830545,6.693823711980137,20.174581005586592,970.3657681564246,SITE 2,EXT
2025-12-09,76.09162011173184,68.33316340782123,43.23607541899441,33.16030415890751,10.090006207324643,24.916201117318437,971.2484357541899,SITE 2,EXT
2025-12-10,135.68767458100558,123.24043296089384,76.30814245810056,33.494723774053384,13.94165114835506,31.335195530726256,971.1416340782123,SITE 2,EXT
2025-12-11,82.44116620111731,73.52619413407821,46.90477653631285,33.781812538795776,14.250465549348231,31.967877094972067,970.3646089385476,SITE 2,EXT
2025-12-12,65.119343575419,56.00500698324022,35.86400139664804,33.65689013035382,14.502638112973308,32.52513966480447,969.1273324022347,SITE 2,EXT
2025-12-13,55.325048882681564,48.637451117318435,31.52958798882682,33.80974549968963,17.243947858473,38.43296089385475,969.0008798882682,SITE 2,EXT
2025-12-14,42.90981894150418,37.86971448467967,24.071142061281336,32.60909935004643,18.398328690807798,43.60445682451253,970.1039554317549,SITE 2,EXT
2025-12-15,44.00116295264624,37.89228412256267,24.54564763231198,30.619003404518725,17.838904363974002,47.089136490250695,972.047938718663,SITE 2,EXT
2025-12-16,39.57304044630404,34.30753138075314,21.60310320781032,30.76243607624361,12.25554005888734,32.95955369595537,971.469930264993,SITE 2,EXT
2025-12-17,52.20372562674095,45.26428272980502,28.006030640668527,31.985453419993814,12.137883008356546,30.515320334261837,970.2001253481893,SITE 2,EXT
2025-12-18,39.70174337517434,34.12965132496513,21.08800557880056,32.57942042460871,9.677669301100263,24.896792189679218,970.531729428173,SITE 2,EXT
2025-12-19,46.7783008356546,40.24594707520891,24.22199860724234,32.608325595790774,8.85948622717425,23.410863509749305,970.755069637883,SITE 2,EXT
2025-12-20,38.30307531380753,32.2721269177127,19.739839609483962,33.04664497133116,8.122578645591199,21.711297071129707,969.9267921896792,SITE 2,EXT
2025-12-21,69.00900417827297,61.902388579387186,39.020967966573814,33.17007118539152,8.397554936552151,22.065459610027855,968.6910584958218,SITE 2,EXT
2025-12-22,81.35702646239554,73.6166991643454,46.05754178272981,33.44552770040235,9.279634787991334,23.380222841225628,968.8598189415042,SITE 2,EXT
2025-12-23,110.41106707317074,99.94751524390243,63.12794207317073,33.81690379403794,10.329437669376695,24.49390243902439,969.1391920731708,SITE 2,EXT
2025-12-24,74.84685933147632,66.21845403899721,42.77457520891365,33.54921077065924,12.906220984215413,29.06267409470752,969.3401114206127,SITE 2,EXT
2025-12-25,74.23270891364902,65.66808495821726,43.25449164345404,34.319870009285054,17.093779015784587,36.711699164345404,970.0860167130919,SITE 2,EXT
2025-12-26,95.49316155988858,85.59869080779944,54.817054317548745,34.356236459300526,14.683534509439802,31.850974930362117,970.538356545961,SITE 2,EXT
2025-12-27,71.8705369595537,64.20607391910738,40.86361227336123,34.308848597551524,11.942507360917402,27.242677824267783,970.6323430962343,SITE 2,EXT
2025-12-28,100.71855849582172,91.5142061281337,56.56539693593315,33.55849582172702,8.502011761064686,22.115598885793872,970.8861420612814,SITE 2,EXT
2025-12-29,139.9407938718663,127.53266016713091,76.22016713091922,33.70164035902197,9.057567316620242,23.04735376044568,971.0508077994429,SITE 2,EXT
2025-12-30,78.09255927475593,70.39613668061367,45.83785913528592,34.83573531690686,17.12304354563769,35.91073919107392,972.1196513249652,SITE 2,EXT
2025-12-31,94.46874651810585,85.26776462395543,55.0358495821727,34.84602290312597,16.497214484679667,35.360724233983284,971.3798885793872,SITE 2,EXT
2026-01-01,135.40411436541143,125.09100418410041,73.10329149232915,34.38090810475748,12.105997210599721,27.351464435146443,970.0220781032077,SITE 2,EXT
2026-01-02,91.59808495821727,82.08130919220055,51.2983426183844,34.537294955122256,17.3065614360879,37.66713091922006,970.2804596100278,SITE 2,EXT
2026-01-03,77.30408647140865,68.88430264993026,43.8063249651325,34.29722609638928,17.605764760576477,38.25523012552301,970.5607391910739,SITE 2,EXT
2026-01-04,44.37791782729805,38.610807799442895,25.274770194986072,33.81151346332405,17.688022284122564,38.899721448467965,970.7672562674095,SITE 2,EXT
2026-01-05,54.1629009762901,47.33851464435146,30.892064156206416,34.79699364636603,18.037346970401366,38.24267782426778,970.1582566248256,SITE 2,EXT
2026-01-06,59.78260111576011,51.583947001394705,33.57434449093445,34.11359057802573,17.63288392995506,38.17015341701534,969.9819246861925,SITE 2,EXT
2026-01-07,59.34827754532775,51.76299163179917,33.18507670850767,34.73268247326825,13.849372384937238,30.592747559274756,970.3595258019526,SITE 2,EXT
2026-01-08,36.97556406685237,32.05399721448468,20.400877437325907,32.48994119467657,8.659083874961313,22.91225626740947,972.526782729805,SITE 2,EXT
2026-01-09,66.47293276108726,59.8146852646638,38.36620886981402,32.93911937688762,7.441583214115403,21.326180257510728,971.3987553648068,SITE 2,EXT
2026-01-10,46.538760445682456,40.42965181058496,25.588753481894148,34.04286598576292,5.4588362735995055,17.467966573816156,970.6839693593314,SITE 2,EXT
2026-01-11,85.72800704225352,74.10521126760563,44.462788732394365,33.978090766823165,4.767605633802817,16.338028169014084,969.7650422535212,SITE 2,EXT
2026-01-12,126.57117852161785,108.60701534170153,64.78035564853556,33.370525337052534,4.832635983263598,17.570432357043234,969.7975871687587,SITE 2,EXT
2026-01-13,146.09807799442896,127.9018036211699,78.14299442896936,32.95806251934386,6.274373259052925,19.601671309192202,969.3953203342618,SITE 2,EXT
2026-01-14,144.37562761506277,126.4468270571827,76.12483960948397,33.31938633193863,7.754532775453278,21.178521617852162,969.5196234309623,SITE 2,EXT
2026-01-15,117.33056406685238,102.3334679665738,62.99545961002785,33.56236459300526,10.54317548746518,24.993036211699163,969.6452228412256,SITE 2,EXT
2026-01-16,85.37854225352113,71.60799295774649,43.92209859154929,33.99139280125196,8.343505477308295,21.853521126760562,969.942014084507,SITE 2,EXT
2026-01-17,63.4307590529248,49.7891922005571,29.37006267409471,33.94692045806252,3.363509749303621,14.767409470752089,969.129582172702,SITE 2,EXT
2026-01-18,147.91522377622377,131.25095104895104,77.89616783216783,33.24397824397825,5.426573426573427,18.254545454545454,968.6847132867132,SITE 2,EXT
2026-01-19,120.61066340782124,108.61864525139664,67.6137220670391,33.89897579143389,5.828677839851024,18.083798882681563,968.0880167597766,SITE 2,EXT
2026-01-20,67.98325418994413,59.68985335195531,38.47483240223464,33.203755431409064,5.805400372439479,18.248603351955307,969.1794134078211,SITE 2,EXT
