date,PM10,PM25,PM1,temp_c,dewpoint_c,humidity,pressure_hpa,site,location
2025-12-01,41.76873961218836,36.14198060941828,23.18168975069252,32.35534010464759,19.24746075715605,47.26454293628809,966.8031578947368,SITE 5,EXT
2025-12-02,40.50373961218837,35.7440027700831,22.903192520775622,32.27300707910126,19.338257925515546,47.45429362880886,966.7553739612189,SITE 5,EXT
2025-12-03,47.86591412742383,42.967963988919664,26.04382271468144,32.165281625115426,11.812865497076023,31.114958448753463,967.6508033240997,SITE 5,EXT
2025-12-04,63.810214384508996,56.68722683264177,30.533146611341632,31.44536652835408,8.167358229598893,24.280774550484093,968.1040940525588,SITE 5,EXT
2025-12-05,41.7125,36.94032575757576,24.134234848484848,32.053030303030305,6.563973063973065,21.445454545454545,968.4438636363635,SITE 5,EXT
2025-12-06,47.91641470180305,42.38377253814147,27.66760055478502,31.605023886577285,5.90768993681615,21.044382801664355,968.37,SITE 5,EXT
2025-12-07,44.492073459715634,38.56785545023697,25.202535545023697,28.87440758293839,6.030805687203792,23.876777251184834,968.984336492891,SITE 5,EXT
2025-12-08,46.17954230235783,41.01104022191401,26.009999999999998,31.882416396979504,5.801356141161967,20.169209431345354,968.5821775312066,SITE 5,EXT
2025-12-09,47.06565789473684,41.6026108033241,26.580921052631577,31.675130809479842,10.014619883040936,27.322714681440445,969.5077977839335,SITE 5,EXT
2025-12-10,72.86878808864266,64.77042243767313,40.91502077562327,32.29993844259773,13.563404124345954,33.08310249307479,969.4636703601109,SITE 5,EXT
2025-12-11,71.10247198879551,62.280399159663865,39.35660364145659,32.41830065359477,14.190787426081544,35.11624649859944,968.7040616246497,SITE 5,EXT
2025-12-12,56.38525801952581,47.98225941422594,31.133270571827058,32.52595691926236,14.48241128157446,34.88423988842399,967.4682426778243,SITE 5,EXT
2025-12-13,45.04461699164345,39.02289693593315,25.306441504178274,32.88610337356855,17.48142989786444,41.4791086350975,967.4018802228413,SITE 5,EXT
2025-12-14,38.017988826815646,33.42559357541899,21.825558659217876,30.906269397889513,18.667752948479205,49.23882681564246,968.5076396648044,SITE 5,EXT
2025-12-15,47.2879748603352,40.3961312849162,25.908428770949723,27.711824953445067,18.192892613283675,57.486033519553075,970.5309078212291,SITE 5,EXT
2025-12-16,34.7781843575419,30.4617248603352,19.477395251396647,28.12616387337058,11.931253879577902,38.05167597765363,969.9708798882682,SITE 5,EXT
2025-12-17,47.37470808383234,41.61275449101797,25.997267964071856,29.44860279441118,12.051729873586162,35.56287425149701,968.7947155688622,SITE 5,EXT
2025-12-18,34.83715782122905,30.31729748603352,19.07034217877095,30.237430167597765,9.672563625077592,28.88826815642458,968.9211033519554,SITE 5,EXT
2025-12-19,39.227715877437326,34.340557103064064,21.506608635097493,29.930362116991642,8.814608480346642,27.619777158774372,969.1264623955433,SITE 5,EXT
2025-12-20,41.259854570637124,35.51333795013851,21.838019390581717,30.680209295167746,8.19329024315174,25.3601108033241,968.3018698060941,SITE 5,EXT
2025-12-21,49.684660664819944,44.10086565096953,27.783981994459833,31.269621421975994,7.717759310557095,23.429362880886426,966.9890443213296,SITE 5,EXT
2025-12-22,48.73113573407202,41.59440443213296,27.245138504155126,32.06140350877193,8.350261618959681,23.86426592797784,967.0994459833796,SITE 5,EXT
2025-12-23,56.47747229916897,51.34104570637119,33.83498614958449,32.381502000615576,9.288242536164974,24.808864265927976,967.419916897507,SITE 5,EXT
2025-12-24,59.5882756232687,51.39904432132964,33.68132271468144,32.72930132348415,13.16558941212681,31.344875346260388,967.6031440443213,SITE 5,EXT
2025-12-25,54.914680998613036,46.62373786407767,30.709993065187238,32.80012328556018,17.36708275543227,40.9375866851595,968.4701941747572,SITE 5,EXT
